id,mode,source,exam,subject,scope,type,question_no,question,option_a,option_b,option_c,option_d,answer_letter,answer_text,explanation,guide_subject,guide_chapter,guide_pdf_page,notes
B1,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,1,某企業盤點生成式 AI 導入場景時，希望先區分「產生新內容」與「預測／偵測」任務。下列哪一項最不屬於以生成新內容為核心的典型生成式 AI 任務？,依客服知識庫草擬回覆內容,依文字提示生成產品情境圖,依歷史交易紀錄計算洗錢風險分數,依行銷主題產出廣告文案草稿,C,依歷史交易紀錄計算洗錢風險分數,這題是反向判斷題，正確答案是「依歷史交易紀錄計算洗錢風險分數」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因為題目要找的是「不屬於、較不符合或不正確」的選項，所以「依歷史交易紀錄計算洗錢風險分數」才是本題要選的答案。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B2,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,2,某企業計劃導入生成式 AI 提升客服效率，但客服主管擔心回覆品質不穩定，最適合的策略是？,全面轉換為 AI 回覆系統，節省成本為主,保持原狀，避免品質問題造成顧客流失,引進 AI 協助草擬內容，由客服人員審核後發送,用 AI 自動回答所有問題，不需要人力審查,C,引進 AI 協助草擬內容，由客服人員審核後發送,這題的正確答案是「引進 AI 協助草擬內容，由客服人員審核後發送」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「引進 AI 協助草擬內容，由客服人員審核後發送」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B3,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,3,生成式 AI 模型如 ChatGPT 的訓練過程中，哪個階段是優化模型回覆使其符合人類偏好？,無監督學習,微調,強化學習,強化學習與人類回饋（RLHF）,D,強化學習與人類回饋（RLHF）,這題的正確答案是「強化學習與人類回饋（RLHF）」。RLHF 屬於生成式 AI 模型訓練與優化中的小概念，不是單純在問生成式 AI 會產生內容。RLHF 的重點是把人類偏好納入模型調整，讓模型回答更符合人類期待、比較安全，也比較貼近使用情境。所以題目如果強調「符合人類偏好」、「人類回饋」或「改善回答品質」，就要連到 RLHF。因此，「強化學習與人類回饋（RLHF）」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B4,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,4,企業導入生成式 AI 到客服流程時，下列哪一項較不屬於導入成敗的核心風險或治理議題？,顧客資料與對話紀錄的隱私保護,員工是否理解 AI 輔助與人工審核分工,聊天視窗按鈕顏色是否完全符合個人偏好,模型回覆可能出現不正確或不穩定內容,C,聊天視窗按鈕顏色是否完全符合個人偏好,這題是反向判斷題，正確答案是「聊天視窗按鈕顏色是否完全符合個人偏好」。AI 治理屬於 AI 導入與管理的大概念。它的重點是讓 AI 系統在設計、部署與使用時兼顧公平性、透明度、可解釋性、責任歸屬、隱私與風險控管。所以題目如果問制度、規範、監督或風險控管，就要從治理角度判斷。因為題目要找的是「不屬於、較不符合或不正確」的選項，所以「聊天視窗按鈕顏色是否完全符合個人偏好」才是本題要選的答案。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B5,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,5,下列何者為使用擴散模型（Diffusion Model）生成影像的常見應用？,語音辨識,區塊鏈驗證,影像創作（如 AI 作畫）,表格自動補全,C,影像創作（如 AI 作畫）,這題的正確答案是「影像創作（如 AI 作畫）」。擴散模型屬於生成式 AI 裡常見的影像生成方法，不是生成式 AI 這個大類本身。它的概念是先把影像逐步加入雜訊，再訓練模型學會反向去除雜訊，最後從雜訊產生清楚圖片。所以題目如果問擴散模型在影像生成上的應用，就會指向 AI 作畫、圖片生成或影像創作。因此，「影像創作（如 AI 作畫）」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B6,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,6,下列何者屬於生成式 AI 的應用？,自動駕駛,圖片生成,垃圾郵件分類,信用卡風險評估,B,圖片生成,這題的正確答案是「圖片生成」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「圖片生成」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B7,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜人工智慧概念,科目一｜人工智慧概念,單選題,7,弱人工智慧的特點為何？,專注特定任務,具備通用智能,能自我意識,可跨領域推理,A,專注特定任務,這題的正確答案是「專注特定任務」。弱人工智慧屬於人工智慧分類中的基本概念。弱人工智慧是針對特定任務設計的 AI，例如辨識圖片、推薦商品或回答特定問題；它不代表具備人類般的通用智能或自我意識。所以題目如果問弱人工智慧的特點，核心就是「專注特定任務」。因此，「專注特定任務」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.1 人工智慧概念,3-1 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B8,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜鑑別式 AI 與生成式 AI 概念,科目一｜鑑別式 AI 與生成式 AI 概念,單選題,8,鑑別式 AI 的主要功能為何？,生成新內容,判斷資料類別,自我學習,跨領域應用,B,判斷資料類別,這題的正確答案是「判斷資料類別」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「判斷資料類別」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.4 鑑別式 AI 與生成式 AI 概念,3-48 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B9,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,9,資料團隊準備訓練模型時，發現年齡、年收入與點擊次數的數值尺度差異很大。進行資料正規化最主要的目的為何？,直接減少資料筆數,讓不同尺度的特徵落在可比較的數值範圍,自動消除所有特徵間的相關性,增加資料來源的多樣性,B,讓不同尺度的特徵落在可比較的數值範圍,這題的正確答案是「讓不同尺度的特徵落在可比較的數值範圍」。正規化與標準化屬於資料前處理中的小概念。它們的目的都是處理不同特徵的數值尺度差異，讓模型訓練時不會因某些欄位數值特別大而被不合理影響。所以題目如果強調年齡、收入、次數等尺度差很大，就要連到正規化或標準化。因此，「讓不同尺度的特徵落在可比較的數值範圍」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B10,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,10,過擬合的主要原因為何？,資料太少,模型過於簡化,模型過於複雜,資料無關,C,模型過於複雜,這題的正確答案是「模型過於複雜」。過擬合屬於機器學習模型訓練中的常見問題。它指模型太記住訓練資料的細節，導致訓練表現很好，但遇到新資料或測試資料時表現變差。所以題目如果問模型太複雜或泛化能力變差，就要連到過擬合。因此，「模型過於複雜」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
