題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
B1,基礎模式,科目一（01）AI 基礎概念與發展,弱人工智慧的特點為何？,（A）專注特定任務；（B）具備通用智能；（C）能自我意識；（D）可跨領域推理,A｜專注特定任務,"弱人工智慧（Weak AI），也常稱為狹義人工智慧（Narrow AI, ANI）。為了完成特定任務或特定領域問題而設計的人工智慧系統，其能力通常侷限於預先設定或訓練的範圍，並不具有人類一般性的理解與智能。",「弱人工智慧」的弱，不是代表它很爛。它可以強到把人類打爆，問題是它只會某一類事情。例如我們訓練一個 AI 專門下圍棋，它可能下圍棋超級強，世界冠軍都下不贏它；可是你突然問它：「那你幫我規劃明天的員工旅遊。」它可能完全不會。所以弱人工智慧真正的意思是：能力的範圍比較窄，而不是能力比較差。
B2,基礎模式,科目一（01）AI 基礎概念與發展,智慧醫療中，AI 最常用於哪一項？,（A）影像診斷輔助；（B）藥品運輸；（C）醫院建築設計；（D）行政文件打印,A｜影像診斷輔助,智慧醫療是將人工智慧技術應用於醫療照護與臨床決策，其中常見應用之一是醫療影像分析，例如協助辨識 X 光、電腦斷層（CT）、磁振造影（MRI）等影像中的異常特徵，作為醫師診斷與判斷的輔助工具。,AI 在醫療裡很常做的事情，就是「幫忙看影像」。例如醫師一天可能要看很多張 X 光或 CT，AI 可以先幫忙找出哪裡可能有異常，提醒醫師特別注意。它不是直接取代醫師，而是像多一個助手幫忙篩選與判斷，所以答案是「影像診斷輔助」。
B3,基礎模式,科目一（01）AI 基礎概念與發展,語音辨識模型輸出的文字常需進行下列何種處理？,（A）斷詞與語法修正；（B）圖片壓縮；（C）音量增強；（D）硬體升級,A｜斷詞與語法修正,"語音辨識（Automatic Speech Recognition, ASR）是將人類語音訊號轉換為文字的技術。模型產生初步文字後，通常還需要進一步進行斷詞、標點、語法或文字正規化等後處理，以提升輸出文字的正確性與可讀性。",AI 把人講的話「聽成文字」之後，不代表輸出的句子馬上就很漂亮。例如我們說「我今天下午三點要去台北開會」，AI 可能先辨識出一串文字，但沒有正確的斷句、標點，甚至有些詞用錯。這時候就要再做「斷詞與語法修正」，把文字整理成人真正看得懂、讀得順的句子。所以答案是「斷詞與語法修正」。
B4,基礎模式,科目一（01）AI 基礎概念與發展,邊緣 AI 的主要特點為何？,（A）資料在本地處理；（B）必須連網；（C）僅適用雲端；（D）完全離線,A｜資料在本地處理,邊緣 AI（Edge AI）是將人工智慧模型部署在資料產生端或鄰近的邊緣裝置上，例如手機、攝影機、感測器或嵌入式設備，使資料可以直接在本地進行運算與分析，而不必全部傳送至雲端處理。,邊緣 AI 最重要的概念就是「資料不用每次都送到雲端，直接在身邊的設備處理」。例如智慧攝影機拍到一個人，可以直接在攝影機或旁邊的小型電腦判斷是不是有人闖入，不需要先把影片傳到遠端伺服器再等答案。這樣通常反應比較快，也能減少網路傳輸與隱私問題。所以答案是「資料在本地處理」。
B5,基礎模式,科目一（01）AI 基礎概念與發展,下列何者屬於狹義人工智慧（ANI）的特徵？,（A）專注特定任務；（B）具備通用推理能力；（C）完全模擬人腦；（D）可跨領域自主學習,A｜專注特定任務,"狹義人工智慧（Artificial Narrow Intelligence, ANI）是針對特定任務或特定領域所設計的人工智慧，其能力通常侷限於既定的應用範圍，並不具備人類般的通用推理、跨領域理解與自主學習能力。",ANI 可以把它想成「專才型 AI」：某一件事情可能做得非常厲害，但不是什麼都會。例如專門辨識人臉的 AI，可以很準確地認出照片中的人物，但你叫它去分析股票、規劃旅行或寫企劃，它就不一定會。所以狹義人工智慧的重點就是「專注特定任務」，答案是 A。
B6,基礎模式,科目一（01）AI 基礎概念與發展,AI 在能源管理中的應用為何？,（A）智慧電網優化；（B）語音辨識；（C）醫療診斷；（D）金融交易,A｜智慧電網優化,AI 在能源管理中可透過分析用電需求、發電量、設備狀態與即時負載等資料，協助智慧電網（Smart Grid）進行供需預測、能源調度與電力分配最佳化，以提升能源使用效率及電網穩定性。,智慧電網可以把它想成「會思考的電力調度中心」。例如炎熱下午大家同時開冷氣，用電量突然增加，AI 可以根據過去資料、天氣與即時用電狀況，預測哪裡快要需要更多電，提前調整電力供應。簡單來說，就是讓電「該送去哪裡、什麼時候送、送多少」變得更聰明，所以答案是「智慧電網優化」。
B7,基礎模式,科目一（01）AI 基礎概念與發展,通用人工智慧（AGI）的目標為何？,（A）跨領域自主學習與推理；（B）專注單一任務；（C）僅模擬感知能力；（D）僅用於數據分析,A｜跨領域自主學習與推理,"通用人工智慧（Artificial General Intelligence, AGI）是指具有廣泛認知能力的人工智慧，目標是能像人類一樣理解、學習、推理並將所學知識應用到不同領域與不同任務，而不是僅侷限於單一特定功能。",AGI 可以把它想成「通才型 AI」。例如今天讓它學醫療，它可以理解；明天改成學金融，它也能學；再叫它規劃旅遊、解決工程問題，也能把以前學過的知識拿來推理。重點不是「每件事原本都被寫好」，而是它能跨領域學習、理解並解決新問題，所以答案是「跨領域自主學習與推理」。
B8,基礎模式,科目一（01）AI 基礎概念與發展,人工智慧的核心目標為何？,（A）讓機器具備類人智能；（B）取代所有人類工作；（C）僅限於數據分析；（D）僅用於遊戲開發,A｜讓機器具備類人智能,"人工智慧（Artificial Intelligence, AI）的核心目標，是讓機器能模擬或展現人類部分智能能力，例如學習、推理、判斷、辨識、理解語言與解決問題，使機器可以完成原本需要人類智能才能處理的任務。",人工智慧不是單純讓電腦「算得更快」，而是希望它能做出一些原本需要人類思考才能完成的事情。例如看懂圖片、聽懂語音、判斷問題、學習經驗或提出建議。也就是讓機器具有類似人類的智能能力，所以答案是「讓機器具備類人智能」。
B9,基礎模式,科目一（01）AI 基礎概念與發展,下列何者不是 AI 的主要應用領域？,（A）自然語言處理；（B）圖像識別；（C）天氣控制；（D）自動駕駛,C｜天氣控制,人工智慧的主要應用領域包含自然語言處理（NLP）、電腦視覺與圖像識別、自動駕駛、智慧醫療及推薦系統等。AI 可以分析大量氣象資料來協助天氣預測，但目前並不能直接控制或改變天氣，因此「天氣控制」不屬於 AI 的主要應用領域。,這題最容易搞混「天氣預測」和「天氣控制」。AI 當然可以分析衛星、氣溫、氣壓等資料，幫我們預測颱風或明天會不會下雨，但「預測天氣」不代表「控制天氣」。AI 沒辦法叫颱風轉彎、叫雨停下來，所以答案是「天氣控制」。
B10,基礎模式,科目一（01）AI 基礎概念與發展,下列何者不是 AI 在醫療領域的應用？,（A）疾病診斷；（B）自動手術輔助；（C）天氣預測；（D）藥物研發,C｜天氣預測,AI 在醫療領域的應用包含疾病診斷與醫療影像分析、手術機器人與手術輔助，以及藥物發現與研發等。天氣預測雖然也可以運用人工智慧分析氣象資料，但屬於氣象與環境應用，而非醫療領域。,這題其實是在看「應用領域有沒有放對地方」。AI 可以幫醫師判斷疾病、協助手術，也能分析大量化合物資料來加速找新藥，這些都和醫療直接有關。但預測明天會不會下雨、颱風往哪裡走，是氣象領域的事情，不是醫療，所以答案是「天氣預測」。
