題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
O1,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在人工智慧系統的決策流程中，下列哪一種情境最符合「人在迴圈上（Human-over-the-loop）」所強調的監督機制？,（A）AI 系統只能提供建議，人類需主動下達命令才能進行決策；（B）人類對 AI 的運行進行日常監督，必要時可立即介入修正或干預；（C）人類平時不參與 AI 的運作，僅在發生異常或重大錯誤時才接手控制；（D）AI 的所有判斷與行動在執行前，皆須經過人類逐一審核與批准,B｜人類對 AI 的運行進行日常監督，必要時可立即介入修正或干預,人在迴圈上（Human-over-the-loop）強調 AI 系統可在日常情境中自主運作，但人類持續進行監督，並保有在必要時介入、修正或停止系統的權限。這與所有決策都必須事前由人類核准的 Human-in-the-loop 不同，因此答案是（B）。,可以把 Human-over-the-loop 想成「AI 平常自己跑，人類站在上面監看，必要時才出手」。例如自動化風控系統平時可自行運作，但主管會持續監看結果，一旦發現異常就能立即介入。選項（D）比較像 Human-in-the-loop，因為每個決策都要人類先核准；選項（C）則比較接近只在例外或事故發生時才接手。**持續監督＋必要時介入＝Human-over-the-loop。**所以答案是（B）。
O2,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列哪一種特徵工程技巧，最適合將「星期幾」和「24 小時制時間」這兩個欄位結合，以預測通勤時間？,（A）One-hot 編碼（One-hot encoding）；（B）正規化（Normalization）；（C）特徵交叉（Feature Cross）；（D）寬深模型（Wide and Deep）,C｜特徵交叉（Feature Cross）,特徵交叉（Feature Cross）可將兩個或多個原始特徵組合成新的交互特徵，用來捕捉單一特徵無法表達的關係。例如將「星期幾」與「24 小時制時間」交叉後，可讓模型學習「星期一早上 8 點」與「星期日早上 8 點」具有不同通勤模式，因此答案是（C）。,可以把 Feature Cross 想成「不是只看星期幾，也不是只看幾點，而是看『星期幾＋幾點』這個組合」。例如星期一 8:00 通常是上班尖峰，但星期日 8:00 可能非常順暢，如果只分別看「星期」和「時間」，可能不容易完整表達這種交互作用。One-hot 只是把類別轉成向量，Normalization 是縮放數值，Wide and Deep 則是一種模型架構。**把兩個特徵組合來學交互關係＝Feature Cross。**所以答案是（C）。
O3,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,關於 ETL（Extract-Transform-Load），下列敘述何者為正確？,（A）E 表示將資料直接儲存至目標儲存庫；（B）ETL 的處理順序可以自由調整為 TEL；（C）L 表示將目標儲存庫經過反加密處理載入資料；（D）T 包括資料的清理與排序,D｜T 包括資料的清理與排序,ETL 代表 Extract、Transform、Load，即先從來源擷取資料，再進行轉換處理，最後載入目標儲存系統。其中 Transform 階段通常包含資料清理、格式轉換、欄位整理、排序、去除重複值等處理，因此答案是（D）。,可以把 ETL 記成「抓資料 → 整理資料 → 放進去」。Extract 是把資料從資料庫、CSV、API 等來源抓出來；Transform 是清理錯誤值、統一格式、排序或重新計算欄位；Load 才是把處理好的資料放進資料倉儲或其他目標系統。選項（A）把 E 和 L 搞反了，（B）也不是標準 ETL 流程。**T＝Transform＝清理與轉換資料。**所以答案是（D）。
O4,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,關於資料正則化（Regularization）L1、L2 方法，下列敘述何者正確？,（A）L1 權重個數愈多，愈可以提升模型的正確率；（B）L2 稱為 Lasso 正則化；（C）L1 運用減少權重的絕對值來控制模型的複雜度；（D）L2 較 L1 正則化方法會將特徵權重趨近於零,C｜L1 運用減少權重的絕對值來控制模型的複雜度,L1 正則化會在損失函數中加入權重絕對值的懲罰項，藉由限制權重大小來降低模型複雜度，並常使部分權重直接趨近或變為 0，因此具有特徵選擇效果。L1 通常稱為 Lasso，而 L2 則是 Ridge，因此答案是（C）。,可以把 L1 想成「對每個權重的絕對值收罰金，逼模型不要亂用太多特徵」。如果某些特徵不重要，L1 很可能把它們的權重直接壓到 0，所以模型會變得比較稀疏。L2 是 Ridge，不是 Lasso，而且 L2 通常讓權重變小但不一定直接變成 0。**L1＝絕對值懲罰＋稀疏化；L2＝平方懲罰＋權重縮小。**所以答案是（C）。
O5,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在機器學習中，「偏差與變異權衡（Bias-Variance Tradeoff）」主要用來解決下列哪一類型的問題？,（A）因資料來源或收集方式限制，導致模型學習到的資訊不足；（B）測試資料樣本與訓練資料高度重複，造成模型泛化能力評估失準；（C）訓練資料中類別分布不均，使模型在少數類別上表現不佳；（D）如何在模型偏差與變異之間取得平衡，以避免過度擬合或欠擬合,D｜如何在模型偏差與變異之間取得平衡，以避免過度擬合或欠擬合,偏差與變異權衡（Bias-Variance Tradeoff）主要用來說明模型複雜度與泛化能力之間的平衡。偏差（Bias）過高通常代表模型過於簡單而造成欠擬合（Underfitting）；變異（Variance）過高則表示模型對訓練資料過度敏感，容易造成過度擬合（Overfitting）。因此答案是（D）。,可以把這個概念想成「模型不能太笨，也不能太會背答案」。模型太簡單時，連訓練資料都學不好，就是高 Bias、容易 Underfitting；模型太複雜時，會把訓練資料的細節甚至雜訊都記住，就是高 Variance、容易 Overfitting。真正目標是找到兩者之間的平衡，讓模型在沒看過的新資料上也能表現良好。**高 Bias＝欠擬合；高 Variance＝過擬合。**所以答案是（D）。
O6,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在 Lasso 模型中，L1 正則化（Regularization）導致參數收斂為零的原因為何？,（A）L1 正則化忽略目標變數；（B）L1 對梯度有平滑作用；（C）L1 對大係數懲罰較強，促使稀疏解；（D）L1 會轉換損失函數為非凸形,C｜L1 對大係數懲罰較強，促使稀疏解,Lasso 使用 L1 正則化，在損失函數中加入係數絕對值總和的懲罰項。L1 懲罰的幾何特性與在 0 點不可微的形式，會使最佳化結果較容易將部分係數壓縮為精確的 0，形成稀疏解（Sparse Solution），因此官方答案選（C）；但「L1 對大係數懲罰較強」並不是最精確的技術描述，因為 L2 對大係數的懲罰實際上增長得更快。,這題答案雖然是（C），但要特別避免背成「L1 比 L2 更重罰大係數」，這並不精確。L1 的關鍵是懲罰項使用 |w|，其最佳化特性會讓不少不重要特徵的係數直接被壓到 0，所以 Lasso 具有自動特徵選擇與稀疏化效果；L2 則通常只是把權重縮小，很少直接變成 0。**L1＝容易產生 0 係數與稀疏解；L2＝讓權重整體縮小。**依題目選項仍以（C）最接近正確答案。
O7,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,貝氏分類器（Naive Bayes Classifier）常被應用於文字分類、垃圾郵件過濾等場景。依據模型特性，它最適合歸類於下列哪一類？,（A）透過直接學習輸入特徵與目標標籤之間的邊界或關係來進行分類的模型；（B）透過建構資料的整體分布，並利用條件關係進行推斷和分類的模型；（C）側重探索資料中樣本間的相似性，將資料自動分成不同群組的模型；（D）透過試錯學習，根據行動結果的獎勵或懲罰來優化決策策略的模型,B｜透過建構資料的整體分布，並利用條件關係進行推斷和分類的模型,貝氏分類器（Naive Bayes Classifier）屬於生成式分類模型（Generative Classifier），會學習各類別的先驗機率以及在不同類別條件下特徵出現的機率分布，再利用貝氏定理計算某筆資料屬於各類別的後驗機率。因此它不是直接學習分類邊界，而是透過機率分布與條件關係進行推斷，所以答案是（B）。,可以把 Naive Bayes 想成「先學每一類資料通常長什麼樣，再算這筆資料最像哪一類」。例如垃圾郵件分類時，它會估計「垃圾郵件中出現『免費』、『中獎』等詞的機率有多高」，再搭配垃圾郵件本身的先驗機率，計算這封信屬於垃圾郵件的可能性。選項（A）比較偏鑑別式模型，（C）是分群，（D）是強化學習。**學機率分布＋利用條件機率分類＝Naive Bayes。**所以答案是（B）。
O8,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,為提升生成式 AI 系統回應的語境一致性，常會結合哪類模型技術？,（A）決策樹分類器（Decision Tree Classifier）；（B）條件語言模型（Conditional Language Model）；（C）強化學習 Q-learning 函數模型；（D）基因演算法（Genetic Algorithm）,B｜條件語言模型（Conditional Language Model）,條件語言模型（Conditional Language Model）的核心，是在特定輸入條件或上下文資訊下產生後續內容，使模型輸出能與目前語境、任務條件或前文保持一致。生成式 AI 若要提升回應的語境一致性，通常會讓生成結果受到 Prompt、對話歷史或其他條件資訊約束，因此答案是（B）。,可以把 Conditional Language Model 想成「不是隨便生成文字，而是根據前面的條件接著說」。例如使用者前面正在討論「台灣旅遊」，後面的回答就應該繼續符合這個主題，而不是突然跳去談股票。條件可以是 Prompt、對話歷史、文件內容或其他上下文資訊。**給定條件＋依上下文生成＝Conditional Language Model。**所以答案是（B）。
O9,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,根據 2025 年 9 月行政院通過之《人工智慧基本法》草案，政府推動人工智慧之「創新實驗環境」制度，主要參考歐盟的何種制度？,（A）Data Protection Impact Assessment；（B）Regulatory Sandbox；（C）AI Trust Label；（D）AI Ethics Review Board,B｜Regulatory Sandbox,歐盟《AI Act》設有 AI Regulatory Sandboxes（人工智慧監理沙盒），讓創新 AI 系統可在主管機關監督及適當防護措施下，於受控制環境中進行開發、測試與驗證。我國人工智慧政策所稱的「創新實驗環境」概念，與此類監理沙盒制度相近，因此答案是（B）Regulatory Sandbox。,可以把 Regulatory Sandbox 想成「先在有規則、有監督的安全試驗場裡測 AI，再決定怎麼正式上路」。新創公司或機構可以先測試創新 AI，同時讓主管機關了解可能出現的法規、安全與權益問題，而不是一開始就直接全面商用。DPIA 是個資影響評估，Trust Label 是信任標章概念，Ethics Review Board 則偏倫理審查組織。**創新實驗環境＝受監管的試驗空間＝Regulatory Sandbox。**所以答案是（B）。
O10,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,根據《金融機構運用人工智慧技術作業規範》，金融機構須建立內部治理架構，並指定專責單位或人員負責推動及管理人工智慧事務，下列何者並非規範所明訂須落實的治理措施？,（A）辦理人工智慧人才培育；（B）清楚了解生成式 AI 技術之運作模式；（C）每日公布人工智慧系統運作狀況；（D）指派高階主管或委員會進行監督管理,C｜每日公布人工智慧系統運作狀況,金融機構導入 AI 時，治理重點包括建立明確的治理及監督機制、提升組織 AI 專業能力與人才培育，並使相關人員了解 AI、生成式 AI 的運作方式及其風險，以利妥善管理 AI 系統。現行金融業 AI 治理要求並沒有規定金融機構必須「每日對外公布 AI 系統運作狀況」，因此答案是（C）。,可以把這題想成「金融 AI 要有人管、有人懂、有人負責，但不是每天開記者會報告系統狀態」。金融機構確實需要培養 AI 人才、讓相關人員理解生成式 AI 的技術與風險，也要由適當的高階管理或治理機制監督；但「每日公布 AI 系統運作狀況」並不是規範要求。**人才培育＋理解 AI 風險＋管理階層監督＝治理措施；每日公開運作狀態不是。**所以答案是（C）。
